Project Name,Package Name,Class Name,Class Type,Class Visibility,Is Abstract,Is Static,Is Final,Is Interface,Extends,Implements,Children,Fields,Methods,Overrides,Static Methods,final Methods , Abstract Methods, Association, Aggregation, Delegation, Composition, Instantiation
JRefactory,,LineNumberTool,1,1,0,0,0,false,0 ,0 ,0 ,inputList: ArrayList dest: String out: OutputStream ,init{ Params : String[] Returns : void} run{ Params :  Returns : void} getOutputStream{ Params : int,String Returns : OutputStream} getPrintData{ Params : int,PrintData Returns : PrintData} getRoot{ Params : int Returns : SimpleNode} main{ Params : String[] Returns : void} ,,main ,,,,OutputStream ,,OutputStream ,ArrayList PrettyPrintVisitor FileOutputStream LineNumberingData File FileParserFactory StdInParserFactory RefactoryInstaller LineNumberTool 
JRefactory,,Metrics,1,1,0,0,0,false,0 ,0 ,0 ,,main{ Params : String[] Returns : void} ,,main ,,,,,,,RefactoryInstaller TextLoadStatus SilentLoadStatus SummaryTraversal TextReport CommaDelimitedReport GatherData 
JRefactory,org.acm.seguin.ant,CVSUtil,1,1,0,0,1,false,0 ,0 ,CVSEntry ,entries: HashMap tz: TimeZone ,isFileModified{ Params : File Returns : boolean} loadEntriesFileFor{ Params : File Returns : CVSEntry} getFileName{ Params :  Returns : String} getDate{ Params :  Returns : Date} toString{ Params :  Returns : String} hashCode{ Params :  Returns : int} equals{ Params : Object Returns : boolean} equalsTime{ Params : long Returns : boolean} parseAToken{ Params : StringTokenizer Returns : String} parseEntryLine{ Params : File,String Returns : CVSEntry} parseTimestamp{ Params : String Returns : Date} setTimestamp{ Params : String Returns : void} ,,parseAToken parseEntryLine ,,,,,,,HashMap File BufferedReader FileReader StringTokenizer ParseException ParseException ParseException ParseException ParseException ParseException ParseException ParseException ParseException ParseException CVSEntry SimpleDateFormat ParsePosition ParseException String 
JRefactory,org.acm.seguin.ant,CVSEntry,3,1,0,1,0,false,0 ,0 ,CVSEntry ,fileName: String date: Date ,isFileModified{ Params : File Returns : boolean} loadEntriesFileFor{ Params : File Returns : CVSEntry} getFileName{ Params :  Returns : String} getDate{ Params :  Returns : Date} toString{ Params :  Returns : String} hashCode{ Params :  Returns : int} equals{ Params : Object Returns : boolean} equalsTime{ Params : long Returns : boolean} parseAToken{ Params : StringTokenizer Returns : String} parseEntryLine{ Params : File,String Returns : CVSEntry} parseTimestamp{ Params : String Returns : Date} setTimestamp{ Params : String Returns : void} ,,parseAToken parseEntryLine ,,,,Date ,,Date ,StringTokenizer ParseException ParseException ParseException ParseException ParseException ParseException ParseException ParseException ParseException ParseException CVSEntry SimpleDateFormat ParsePosition ParseException String 
JRefactory,org.acm.seguin.ant,Pretty,1,1,0,0,1,false,Task ,0 ,0 ,filesets: Vector cvs: boolean cvsUtil: CVSUtil ,addFileset{ Params : FileSet Returns : void} setSettingsdir{ Params : File Returns : void} setCvs{ Params : boolean Returns : void} execute{ Params :  Returns : void} validateAttributes{ Params :  Returns : void} ,,,,,,CVSUtil ,,CVSUtil ,Vector CVSUtil PrettyPrintFile File FileParserFactory BuildException BuildException 
JRefactory,org.acm.seguin.awt,AboutBox,1,1,0,0,0,false,JWindow ,ActionListener ,0 ,,main{ Params : String[] Returns : void} actionPerformed{ Params : ActionEvent Returns : void} run{ Params :  Returns : void} ,,main run ,,,ActionListener ,,,,ImagePanel JLabel JRefactoryVersion JLabel JLabel JLabel JButton AboutBox 
JRefactory,org.acm.seguin.awt,CenterDialog,1,1,0,0,0,false,0 ,0 ,0 ,,center{ Params : JDialog,JFrame Returns : void} center{ Params : JDialog Returns : void} center{ Params : JDialog,UMLPackage Returns : void} ,,center center center ,,,,,,,
JRefactory,org.acm.seguin.awt,ExceptionDialog,1,1,0,0,0,false,JDialog ,ActionListener ,0 ,,actionPerformed{ Params : ActionEvent Returns : void} createPanel{ Params : String Returns : JPanel} createStackTrace{ Params : Throwable Returns : JPanel} untab{ Params : String Returns : String} main{ Params : String[] Returns : void} ,,main ,,,ActionListener ,,,,JLabel Dimension JScrollPane JScrollPane JButton LinkedList StringTokenizer JPanel GridLayout JLabel StringWriter PrintWriter StringBuffer ExceptionDialog Exception 
JRefactory,org.acm.seguin.awt,ExceptionPrinter,1,1,0,0,0,false,0 ,0 ,0 ,,print{ Params : Throwable Returns : void} dialog{ Params : Throwable Returns : void} ,,print dialog ,,,,,,,ExceptionDialog 
JRefactory,org.acm.seguin.awt,ImagePanel,1,1,0,0,0,false,JPanel ,0 ,0 ,imgIcon: ImageIcon wide: int high: int ,paint{ Params : Graphics Returns : void} ,,,,,,int ,,int ,ImageIcon Dimension 
