Project Name,Package Name,Class Name,Class Type,Class Visibility,Is Abstract,Is Static,Is Final,Is Interface,Extends,Implements,Children,Fields,Methods,Overrides,Static Methods,final Methods , Abstract Methods, Association, Aggregation, Delegation, Composition, Instantiation
JUnit,junit.awtui,AboutDialog,1,0,0,0,0,false,Dialog ,0 ,0 ,,actionPerformed{ Params : ActionEvent Returns : void} windowClosing{ Params : WindowEvent Returns : void} ,,,,,,,,,GridBagLayout Button ActionListener Label Font Label Font Logo GridBagConstraints GridBagConstraints GridBagConstraints Insets GridBagConstraints WindowAdapter 
JUnit,junit.awtui,Logo,1,1,0,0,0,false,Canvas ,0 ,0 ,fImage: Image fWidth: int fHeight: int ,loadImage{ Params : String Returns : Image} paint{ Params : Graphics Returns : void} paintBackground{ Params : java.awt.Graphics Returns : void} ,,,,,,int ,,int ,MediaTracker 
JUnit,junit.awtui,ProgressBar,1,1,0,0,0,false,Canvas ,0 ,0 ,fError: boolean fTotal: int fProgress: int fProgressX: int ,getStatusColor{ Params :  Returns : Color} paint{ Params : Graphics Returns : void} paintBackground{ Params : Graphics Returns : void} paintStatus{ Params : Graphics Returns : void} paintStep{ Params : int,int Returns : void} reset{ Params :  Returns : void} scale{ Params : int Returns : int} setBounds{ Params : int,int,int,int Returns : void} start{ Params : int Returns : void} step{ Params : boolean Returns : void} ,,,,,,,,,Rectangle 
JUnit,junit.awtui,TestRunner,1,1,0,0,0,false,BaseTestRunner ,0 ,0 ,fFrame: Frame fExceptions: Vector fFailedTests: Vector fRunner: Thread fTestResult: TestResult fTraceArea: TextArea fSuiteField: TextField fRun: Button fProgressIndicator: ProgressBar fFailureList: List fLogo: Logo fNumberOfErrors: Label fNumberOfFailures: Label fNumberOfRuns: Label fQuitButton: Button fRerunButton: Button fStatusLine: TextField fUseLoadingRunner: Checkbox PLAIN_FONT: Font GAP: int ,about{ Params :  Returns : void} addError{ Params : Test,Throwable Returns : void} addFailure{ Params : Test,AssertionFailedError Returns : void} addGrid{ Params : Panel,Component,int,int,int,int,double,int Returns : void} appendFailure{ Params : String,Test,Throwable Returns : void} createJUnitMenu{ Params :  Returns : Menu} actionPerformed{ Params : ActionEvent Returns : void} actionPerformed{ Params : ActionEvent Returns : void} createMenus{ Params : MenuBar Returns : void} createTestResult{ Params :  Returns : TestResult} createUI{ Params : String Returns : Frame} windowClosing{ Params : WindowEvent Returns : void} actionPerformed{ Params : ActionEvent Returns : void} textValueChanged{ Params : TextEvent Returns : void} actionPerformed{ Params : ActionEvent Returns : void} itemStateChanged{ Params : ItemEvent Returns : void} actionPerformed{ Params : ActionEvent Returns : void} actionPerformed{ Params : ActionEvent Returns : void} failureSelected{ Params :  Returns : void} endTest{ Params : Test Returns : void} isErrorSelected{ Params :  Returns : boolean} loadFrameIcon{ Params :  Returns : Image} getRunner{ Params :  Returns : Thread} main{ Params : String[] Returns : void} run{ Params : Class Returns : void} rerun{ Params :  Returns : void} reset{ Params :  Returns : void} run{ Params :  Returns : void} runFailed{ Params : String Returns : void} runSuite{ Params :  Returns : void} run{ Params :  Returns : void} shouldReload{ Params :  Returns : boolean} setLabelValue{ Params : Label,int Returns : void} setSuiteName{ Params : String Returns : void} showErrorTrace{ Params :  Returns : void} showInfo{ Params : String Returns : void} clearStatus{ Params :  Returns : void} showStatus{ Params : String Returns : void} start{ Params : String[] Returns : void} startTest{ Params : Test Returns : void} ,,main run ,,,,,,,Font AboutDialog GridBagConstraints Insets Menu MenuItem ActionListener MenuItem ActionListener TestResult Frame BorderLayout WindowAdapter MenuBar Label TextField ActionListener TextListener Button ActionListener Checkbox ProgressBar Label Label Label Panel FlowLayout Label Label Label Label List ItemListener Button ActionListener Panel GridLayout TextArea TextField Button ActionListener Logo Panel GridBagLayout TestRunner TestResult Vector Vector Thread 
JUnit,junit.extensions,ActiveTestSuite,1,1,0,0,0,false,TestSuite ,0 ,0 ,fActiveTestDeathCount: int ,run{ Params : TestResult Returns : void} runTest{ Params : Test,TestResult Returns : void} run{ Params :  Returns : void} waitUntilFinished{ Params :  Returns : void} runFinished{ Params : Test Returns : void} ,,,,,,int ,,int ,Thread 
JUnit,junit.extensions,ExceptionTestCase,1,1,0,0,0,false,TestCase ,0 ,0 ,fExpected: Class ,runTest{ Params :  Returns : void} ,,,,,,,,,
JUnit,junit.extensions,RepeatedTest,1,1,0,0,0,false,TestDecorator ,0 ,0 ,fTimesRepeat: int ,countTestCases{ Params :  Returns : int} run{ Params : TestResult Returns : void} toString{ Params :  Returns : String} ,,,,,,int ,,int ,IllegalArgumentException 
JUnit,junit.extensions,TestDecorator,1,1,0,0,0,false,Assert ,Test ,0 ,fTest: Test ,basicRun{ Params : TestResult Returns : void} countTestCases{ Params :  Returns : int} run{ Params : TestResult Returns : void} toString{ Params :  Returns : String} getTest{ Params :  Returns : Test} ,,,,,Test ,,,,
JUnit,junit.extensions,TestSetup,1,1,0,0,0,false,TestDecorator ,0 ,0 ,,run{ Params : TestResult Returns : void} protect{ Params :  Returns : void} setUp{ Params :  Returns : void} tearDown{ Params :  Returns : void} ,,,,,,,,,Protectable 
JUnit,junit.framework,AssertionFailedError,1,1,0,0,0,false,Error ,0 ,0 ,,,,,,,,,,,
